1, 3.743100, 2.180139
2, 1.657610, 0.957002
3, 1.018764, 0.679847
4, 0.799059, 0.576121
5, 0.683729, 0.518398
6, 0.609830, 0.482681
7, 0.561649, 0.472067
8, 0.515362, 0.445917
9, 0.475140, 0.432396
10, 0.441084, 0.430386
11, 0.417483, 0.411875
12, 0.393338, 0.414410
13, 0.377307, 0.399783
14, 0.353014, 0.403884
15, 0.346762, 0.404655
16, 0.330511, 0.390134
17, 0.315242, 0.389224
18, 0.289049, 0.388723
19, 0.287391, 0.386957
20, 0.279136, 0.380352
21, 0.260220, 0.379001
22, 0.255769, 0.374243
23, 0.260905, 0.373613
24, 0.248548, 0.382837
25, 0.235677, 0.383623
26, 0.226044, 0.381696
27, 0.224179, 0.371493
28, 0.222290, 0.368895
29, 0.207630, 0.386230
30, 0.203904, 0.379574
31, 0.197838, 0.381014
32, 0.189143, 0.374328
33, 0.186762, 0.367359
34, 0.171959, 0.361788
35, 0.178569, 0.366138
36, 0.168241, 0.368070
37, 0.174257, 0.360936
38, 0.158500, 0.374794
39, 0.146769, 0.377035
40, 0.149580, 0.378593
41, 0.146747, 0.374408
42, 0.144403, 0.364237
43, 0.140939, 0.371700
44, 0.137705, 0.369701
45, 0.137031, 0.372724
46, 0.132464, 0.367453
47, 0.130201, 0.368102
48, 0.124030, 0.371196
49, 0.122800, 0.359062
50, 0.123857, 0.368642
